key,word,lang,domain,primary_second_distance,primary_neutral_distance,second_neutral_distance
come_en,come,en,movement,0.8017229225995955,0.7414485899043227,0.7132773561424572
ride_en,ride,en,movement,0.8127967234682217,0.6934421674556263,0.6259097892116321
hot_en,hot,en,temperature,0.873681385251543,0.7049193983636616,0.7297860989771914
wet_en,wet,en,moisture,0.7279313842973573,0.6399479436004478,0.6140323130923504
blow_en,blow,en,air,0.8147965391533365,0.6312851378704416,0.6996209207113859
eat_en,eat,en,food,0.8361769927330898,0.767306426324804,0.7356565688090678
mount_en,mount,en,movement,0.644371920244794,0.5961750669039728,0.6606575900666152
lay_en,lay,en,position,0.7620306429379591,0.5476286970480626,0.6693048704172764
master_en,master,en,authority,0.6921853458012532,0.6529226161226287,0.5369053493720128
69_en,69,en,number,0.6188833636240703,0.4481155903854084,0.6012728158072335
doggy_en,doggy,en,animal,0.7175349602719441,0.6473429490257694,0.7052300402599104
collar_en,collar,en,animal,0.640653692525504,0.5477993777295985,0.5057094725443537
leash_en,leash,en,animal,0.6710874628938794,0.5026027607419474,0.6178436454024808
dominate_en,dominate,en,power,0.8245406375923255,0.682773814301106,0.5721158646027993
submit_en,submit,en,power,0.8412989344561179,0.6683187020192893,0.6027600457527698
nuts_en,nuts,en,food,0.7331317381686273,0.54859240910424,0.7215570358265351
screw_en,screw,en,tool,0.7754855905215401,0.5605720305103312,0.7750806385171224
swallow_en,swallow,en,food,0.6530401131907271,0.573357946944873,0.532288322742845
iku_ja,イク,ja,movement,0.7338963198223469,0.7104981298203562,0.5595195524832968
taberu_ja,食べる,ja,food,0.7006827256304655,0.6732144079663535,0.631048189052437
noru_ja,乗る,ja,movement,0.7633821576819205,0.6322885029754669,0.6381637057358346
kubiwa_ja,首輪,ja,animal,0.5136609799889621,0.5361969599951963,0.5200153654697953
nureru_ja,濡れる,ja,moisture,0.4607833690548895,0.43487822987470603,0.47767127418406075
semeru_ja,攻める,ja,power,0.7353799276750977,0.5476503021251102,0.5857179673375514
shibaru_ja,縛る,ja,tool,0.4577891777744735,0.384191776332824,0.4558266506429358
neru_ja,寝る,ja,sleep,0.65921594235545,0.585478477478534,0.7027583757194299
venir_fr,venir,fr,movement,0.6328300445386543,0.7132335855537508,0.6186435233554515
mourir_fr,mourir,fr,state,0.7254221987111898,0.6104942728790312,0.6918975859795896
monter_fr,monter,fr,movement,0.6946931235017848,0.5060235042078667,0.6984260203169436
kommen_de,kommen,de,movement,0.6628783050535132,0.6746472301035572,0.6295071658564602
reiten_de,reiten,de,movement,0.4924498447770249,0.47492969246977124,0.5622911651425128
blasen_de,blasen,de,air,0.6367202040461681,0.5388970290498797,0.5757912014273832
correrse_es,correrse,es,movement,0.6171995183915944,0.5886465701616852,0.5403174048046988
montar_es,montar,es,movement,0.6593399964396754,0.5316581120924423,0.5262397412554588
gada_ko,가다,ko,movement,0.7533969377431704,0.7817874499092409,0.5451022512658504
lai_zh,来,zh,movement,0.62828150798194,0.7162264996150468,0.5953265093388519
lick_en,lick,en,food,0.6423349007067449,0.6435940139987097,0.6102449203317543
tie_en,tie,en,tool,0.6542467362536957,0.6066538377265787,0.6238633977064887
obey_en,obey,en,power,0.686595357175344,0.5777701145048975,0.5321495661676643
nameru_ja,舐める,ja,food,0.5584274520121113,0.5478018428218868,0.5321614700607351
shitagau_ja,従う,ja,power,0.6592068819050054,0.4786916837051226,0.49819041305178646
chaud_fr,chaud,fr,temperature,0.6357722402585222,0.5663744281251317,0.6068083630478911
mouiller_fr,mouiller,fr,moisture,0.6188564206988039,0.5229378244558451,0.5974510261774441
heiss_de,heiß,de,temperature,0.6523405544908345,0.5406903757641357,0.6085628818207565
feucht_de,feucht,de,moisture,0.5546620257804867,0.4929859230472229,0.5113961111507825
caliente_es,caliente,es,temperature,0.5702685889800891,0.5193983762477419,0.5361000998844695
mojarse_es,mojarse,es,moisture,0.5520063829039529,0.4950368695348232,0.5495217398031472
