pair,lang,hhp_key,control_key,hhp_pull,control_pull,delta
match_come_walk,en,come_en,walk_en,-0.17174394931817102,-0.1722513591901162,0.0005074098719451692
match_hot_cold,en,hot_en,cold_en,-0.022204131301771596,-0.04862301410384259,0.026418882802070998
match_wet_dry,en,wet_en,dry_en,-0.08779855820899543,-0.11269318861572768,0.024894630406732246
match_69_68,en,69_en,68_en,-0.010794289078762592,-0.10025959390151887,0.08946530482275628
match_69_70,en,69_en,70_en,-0.010794289078762592,-0.09437948272047358,0.08358519364171099
match_ride_walk,en,ride_en,walk_en,-0.19829652792050514,-0.11939904702692936,-0.07889748089357579
match_blow_breathe,en,blow_en,breathe_en,-0.12330661666221898,0.13344188314779742,-0.2567484998100164
match_nuts_pencil,en,nuts_en,pencil_en,-0.04174414196921747,-0.09762365075880197,0.0558795087895845
match_screw_cup,en,screw_en,cup_en,-0.025470543616355992,-0.0497007626336162,0.024230219017260204
match_submit_sit,en,submit_en,sit_en,-0.19226913014490715,-0.13925559273433824,-0.05301353741056891
match_iku_aruku,ja,iku_ja,aruku_ja,-0.1858887721316839,-0.17507450751239126,-0.010814264619292635
match_neru_suwaru,ja,neru_ja,suwaru_ja,-0.0006531208908832631,-0.14492195638661837,0.1442688354957351
match_kubiwa_koppu,ja,kubiwa_ja,koppu_ja,-0.017364370957849123,-0.059537452201388064,0.04217308124353894
match_kommen_gehen,de,kommen_de,gehen_de,-0.15232107236995956,-0.14593338696378066,-0.0063876854061789
match_venir_marcher,fr,venir_fr,marcher_fr,-0.038238465271698524,-0.04294840849238091,0.004709943220682383
match_gada_geotda,ko,gada_ko,geotda_ko,-0.08130877368842052,-0.05142161860394437,-0.029887155084476147
match_lai_zou,zh,lai_zh,zou_zh,-0.19941001896042276,-0.17200667879353773,-0.027403340166885032
