pair,lang,hhp_pull,ctrl_pull,delta
match_come_walk,en,-0.10841074744653667,-0.10738340346749953,-0.001027343979037143
match_hot_cold,en,-0.020579805761199443,-0.04609234867773049,0.025512542916531045
match_wet_dry,en,-0.034765476296999664,-0.05306831170184545,0.018302835404845785
match_69_68,en,-0.03444078263287187,-0.06532569898339335,0.030884916350521485
match_69_70,en,-0.03444078263287187,-0.06218061336138725,0.02773983072851538
match_ride_walk,en,-0.09066749323614487,-0.07645994548067736,-0.014207547755467509
match_blow_breathe,en,-0.08103934157519199,0.01827628574634188,-0.09931562732153387
match_nuts_pencil,en,-0.03495521792873846,-0.0490812025153734,0.014125984586634943
match_screw_cup,en,-0.029601661842239002,-0.021595548502280293,-0.00800611333995871
match_submit_sit,en,-0.10385891170848016,-0.08921016012850913,-0.014648751579971031
match_iku_aruku,ja,-0.09315037912180424,-0.09904070629356909,0.005890327171764853
match_neru_suwaru,ja,0.014150719353934527,-0.10103664850423899,0.11518736785817352
match_kubiwa_koppu,ja,-0.00812225794779331,-0.026067496972420723,0.017945239024627413
match_kommen_gehen,de,-0.06001514850847667,-0.07179342116925891,0.01177827266078224
match_venir_marcher,fr,-0.04830559911549348,-0.07493411487297752,0.02662851575748404
match_gada_geotda,ko,-0.07317451829835764,-0.07947718388606062,0.0063026655877029825
match_lai_zou,zh,-0.0822583005588603,-0.07741943767608728,-0.004838862882773021
